price,bedrooms,bathrooms,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15,month,season,renovated
12.309982108920686,3,1.0,5650.0,1.0,0,0.0,3,7,1180.0,0.0,1955,98178,47.5112,-122.257,1340.0,5650.0,10,fall,not_renovated
13.195613839143922,3,2.25,7242.0,2.0,0,0.0,3,7,2170.0,400.0,1951,98125,47.721,-122.319,1690.0,7639.0,0,winter,renovated
12.100712129872347,2,1.0,10000.0,1.0,0,0.0,3,6,770.0,0.0,1933,98028,47.7379,-122.233,2720.0,8062.0,2,winter,not_renovated
13.311329476916953,4,3.0,5000.0,1.0,0,0.0,5,7,1050.0,910.0,1965,98136,47.5208,-122.393,1360.0,5000.0,0,winter,not_renovated
13.142166004700508,3,2.0,8080.0,1.0,0,0.0,3,8,1680.0,0.0,1987,98074,47.6168,-122.045,1800.0,7503.0,2,winter,not_renovated
14.0225247273486,4,4.5,101930.0,1.0,0,0.0,3,11,3890.0,1530.0,2001,98053,47.6561,-122.005,4760.0,101930.0,5,spring,not_renovated
12.458774999085929,3,2.25,6819.0,2.0,0,0.0,3,7,1715.0,0.0,1995,98003,47.3097,-122.327,2238.0,6819.0,6,spring,not_renovated
12.583995250631936,3,1.5,9711.0,1.0,0,0.0,3,7,1060.0,0.0,1963,98198,47.4095,-122.315,1650.0,9711.0,1,winter,not_renovated
12.343658308482738,3,1.0,7470.0,1.0,0,0.0,3,7,1050.0,730.0,1960,98146,47.5123,-122.337,1780.0,8113.0,4,spring,not_renovated
12.685407602204794,3,2.5,6560.0,2.0,0,0.0,3,7,1890.0,0.0,2003,98038,47.3684,-122.031,2390.0,7570.0,3,winter,not_renovated
13.403775836842515,3,2.5,9796.0,1.0,0,0.0,3,8,1860.0,1700.0,1965,98007,47.6007,-122.145,2210.0,8925.0,4,spring,not_renovated
13.056223574899784,2,1.0,6000.0,1.0,0,0.0,4,7,860.0,300.0,1942,98115,47.69,-122.292,1330.0,6000.0,5,spring,not_renovated
12.644327576461329,3,1.0,19901.0,1.5,0,0.0,4,7,1430.0,0.0,1927,98028,47.7558,-122.229,1780.0,12697.0,5,spring,not_renovated
12.89921982609012,3,1.75,9680.0,1.0,0,0.0,4,7,1370.0,0.0,1977,98074,47.6127,-122.045,1370.0,10208.0,10,fall,not_renovated
13.180632285528304,5,2.0,4850.0,1.5,0,0.0,3,7,1810.0,0.0,1900,98107,47.67,-122.394,1360.0,4850.0,3,winter,not_renovated
13.38472764187182,4,3.0,5000.0,2.0,0,3.0,3,9,1980.0,970.0,1979,98126,47.5714,-122.375,2140.0,4000.0,1,winter,not_renovated
12.886641043883259,3,2.0,14040.0,2.0,0,0.0,3,7,1890.0,0.0,1994,98019,47.7277,-121.962,1890.0,14018.0,7,summer,not_renovated
13.091904169919621,4,1.0,4300.0,1.5,0,0.0,4,7,1600.0,0.0,1916,98103,47.6648,-122.343,1610.0,4300.0,5,spring,not_renovated
12.14950229404178,2,1.0,9850.0,1.0,0,0.0,4,7,1200.0,0.0,1921,98002,47.3089,-122.21,1060.0,5095.0,0,winter,not_renovated
12.345834587905333,3,1.0,9774.0,1.0,0,0.0,4,7,1250.0,0.0,1969,98003,47.3343,-122.306,1280.0,8850.0,4,spring,not_renovated
12.86099861326992,4,1.75,4980.0,1.0,0,0.0,4,7,860.0,760.0,1947,98133,47.7025,-122.341,1400.0,4980.0,5,spring,not_renovated
14.508657738524219,3,2.75,44867.0,1.0,0,4.0,3,9,2330.0,720.0,1968,98040,47.5316,-122.233,4110.0,20336.0,8,summer,not_renovated
12.560244459250788,5,2.5,6300.0,2.0,0,0.0,3,8,2270.0,0.0,1995,98092,47.3266,-122.169,2240.0,7005.0,7,summer,not_renovated
12.439958293376286,2,1.5,9643.0,1.0,0,0.0,3,7,1070.0,0.0,1985,98030,47.3533,-122.166,1220.0,8386.0,5,spring,not_renovated
12.70381302974751,3,2.25,6500.0,2.0,0,0.0,4,8,2450.0,0.0,1985,98030,47.3739,-122.172,2200.0,6865.0,11,fall,not_renovated
12.358793732547838,3,2.0,4697.0,1.5,0,0.0,5,6,1710.0,0.0,1941,98002,47.3048,-122.218,1030.0,4705.0,11,fall,not_renovated
13.750438561220559,3,1.75,2691.0,2.0,0,0.0,3,8,1750.0,700.0,1915,98119,47.6386,-122.36,1760.0,3573.0,6,spring,not_renovated
13.410545324897761,3,1.0,1581.0,1.5,0,0.0,5,8,1400.0,0.0,1909,98112,47.6221,-122.314,1860.0,3861.0,0,winter,not_renovated
12.989974189358584,3,1.75,6380.0,1.0,0,0.0,3,7,790.0,730.0,1948,98115,47.695,-122.304,1520.0,6235.0,6,spring,not_renovated
13.485616636703183,4,2.5,7173.0,2.0,0,0.0,3,8,2570.0,0.0,2005,98052,47.7073,-122.11,2630.0,6026.0,3,winter,not_renovated
13.271645080120082,3,2.5,3980.0,2.0,0,0.0,3,8,2320.0,0.0,2003,98027,47.5391,-122.07,2580.0,3980.0,11,fall,not_renovated
12.542544882151386,2,1.5,1265.0,3.0,0,0.0,3,7,1190.0,0.0,2005,98133,47.7274,-122.357,1390.0,1756.0,0,winter,not_renovated
13.440817108522863,4,1.75,5000.0,1.5,0,0.0,4,7,1510.0,820.0,1929,98117,47.6823,-122.368,1460.0,5000.0,6,spring,not_renovated
